FAMILY	n_DNA	n_LTR	n_SINE	n_LINE	freshwater	brackwater	saltwater	DNA	LINEs	LTR	SINEs	Simple	Total	TEs	DNA_frac	LINEs_frac	SINEs_frac	LTR_frac	bp	contig_bp	n50_contig	n50_scaffold	longest_scaffold	num_strs_unit20	mean_length_unit20	mean_length_sd_unit20	strs_bp_per_mbp_unit20	strs_corr_bp_per_mbp_unit20	strs_per_mbp_unit20	busco_complete_single	busco_complete_dup	busco_fragmented	busco_missing	snps	mnps	indels	complex	in_60	coverage	cegma_complete	cegma_partial	ca_coverage	snps_per_kbp	num_genes	strs_corr_bp_per_mbp_cds_unit20	num_strs_unit10	mean_length_unit10	mean_length_sd_unit10	strs_bp_per_mbp_unit10	strs_corr_bp_per_mbp_unit10	strs_per_mbp_unit10	strs_corr_bp_per_mbp_cds_unit10	indels_per_kbp	num_kogs	num_introns	mean_intron_size	std_intron_size	num_strs_filter_unit20	mean_length_filter_unit20	mean_length_sd_filter_unit20	strs_bp_per_mbp_filter_unit20	strs_corr_bp_per_mbp_filter_unit20	strs_per_mbp_filter_unit20	num_strs_unit10_1	mean_length_unit10_1	mean_length_sd_unit10_1	strs_bp_per_mbp_unit10_1	strs_corr_bp_per_mbp_unit10_1	strs_per_mbp_unit10_1	num_strs_unit10_2	mean_length_unit10_2	mean_length_sd_unit10_2	strs_bp_per_mbp_unit10_2	strs_corr_bp_per_mbp_unit10_2	strs_per_mbp_unit10_2	num_strs_unit10_3	mean_length_unit10_3	mean_length_sd_unit10_3	strs_bp_per_mbp_unit10_3	strs_corr_bp_per_mbp_unit10_3	strs_per_mbp_unit10_3	num_strs_unit10_4	mean_length_unit10_4	mean_length_sd_unit10_4	strs_bp_per_mbp_unit10_4	strs_corr_bp_per_mbp_unit10_4	strs_per_mbp_unit10_4	num_strs_unit10_5	mean_length_unit10_5	mean_length_sd_unit10_5	strs_bp_per_mbp_unit10_5	strs_corr_bp_per_mbp_unit10_5	strs_per_mbp_unit10_5	num_strs_unit10_6	mean_length_unit10_6	mean_length_sd_unit10_6	strs_bp_per_mbp_unit10_6	strs_corr_bp_per_mbp_unit10_6	strs_per_mbp_unit10_6	num_strs_unit10_7	mean_length_unit10_7	mean_length_sd_unit10_7	strs_bp_per_mbp_unit10_7	strs_corr_bp_per_mbp_unit10_7	strs_per_mbp_unit10_7	num_strs_unit10_8	mean_length_unit10_8	mean_length_sd_unit10_8	strs_bp_per_mbp_unit10_8	strs_corr_bp_per_mbp_unit10_8	strs_per_mbp_unit10_8	num_strs_unit10_9	mean_length_unit10_9	mean_length_sd_unit10_9	strs_bp_per_mbp_unit10_9	strs_corr_bp_per_mbp_unit10_9	strs_per_mbp_unit10_9	num_strs_unit10_10	mean_length_unit10_10	mean_length_sd_unit10_10	strs_bp_per_mbp_unit10_10	strs_corr_bp_per_mbp_unit10_10	strs_per_mbp_unit10_10	preqc_genome_size	strs_perc	scaled_bp	sum_strs_per_mbp_unit10	prop_class	log_strs	brood1_bin	water_bin	w_b	nTEs	nTEs_density	family_age	family_age_ln	family_richness	family_richness_ln	div_rate_e0_family	div_rate_e5_family	div_rate_e9_family
Adrianichthyidae	211254.0	98655.0	17515.0	39572.0	1.0	1.0	0.0	7.45	4.43	1.87	0.36	0.73	28.0	14.11	0.5279943302622254	0.31396172927002125	0.025513819985825657	0.13253012048192772	869000216.0	700386597.0	9628.0	29908082.0	39973033.0	215570.0	36.47	89.16	8789.6	10905.6	248.067	3584.0	49.0	74.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	227.0	235.0	0.0	0.0	24286.0	5927.21	190422.0	26.96	43.35	5837.19	7242.45	219.128	2805.9	0.0	0.0	0.0	0.0	0.0	215570.0	36.47	89.16	8789.6	10905.6	248.067	64182.0	16.23	3.89	1199.04	1487.7	73.8573	32384.0	25.83	18.05	961.88	1193.45	37.2658	20944.0	23.85	30.84	574.19	712.42	24.1013	26611.0	45.59	59.79	1389.82	1724.42	30.6226	15862.0	26.56	30.85	483.0	599.28	18.2532	6884.0	26.01	24.76	205.74	255.27	7.92175	4815.0	24.59	25.03	136.22	169.01	5.54085	5015.0	37.61	81.43	215.11	266.9	5.771	6365.0	34.67	63.75	249.22	309.22	7.324510000000001	7360.0	56.43	130.63	461.51	572.62	8.469510000000001	0.0	0.583719	0.7804740029649281	5875.7300000000005	0.5039285714285714	3.76620382978585	1.0	1.0	1.0	366996.0	422.31980296768995	71.879041	4.27498472	37.0	3.610917913	0.050236034	0.040963804	0.021230894
Amblyopsidae	267660.0	83422.0	1748.0	48275.0	1.0	0.0	0.0	9.86	5.12	1.9	0.04	2.64	34.01	16.919999999999998	0.58274231678487	0.3026004728132388	0.0023640661938534283	0.11229314420803783	555559596.0	554848510.0	7314.0	9654.0	103791.0	457828.0	38.27	55.36	30036.4	30074.9	824.915	2024.0	55.0	763.0	911.0	1079087.0	45753.0	147697.0	96495.0	1.0	32.1369	167.0	222.0	22.85	1.9448299999999998	26499.0	6121.31	414599.0	33.77	41.14	24462.8	24494.1	747.025	3980.51	0.26619299999999996	403.0	2949.0	435.89599999999996	398.07099999999997	0.0	0.0	0.0	0.0	0.0	0.0	26706.0	17.59	7.22	845.78	846.86	48.1189	242562.0	34.47	36.27	15041.6	15060.9	437.04900000000004	31128.0	27.32	30.23	1525.04	1527.0	56.0865	52385.0	32.46	41.81	3038.02	3041.91	94.3874	10786.0	32.65	50.33	627.7	628.5	19.4342	10118.0	33.97	39.38	616.17	616.96	18.2306	5745.0	32.23	48.18	328.33	328.75	10.3514	11743.0	43.7	60.63	916.56	917.73	21.1586	6567.0	34.25	45.91	400.78	401.3	11.8324	16859.0	59.17	86.89	1741.34	1743.57	30.3766	681517010.0	2.44628	-0.2651614217600518	25081.320000000003	0.49750073507791825	4.388506164677122	1.0	1.0	1.0	401105.0	721.9837491565892	41.500002	3.725693475	9.0	2.197224577	0.052945168	0.038781635	0.014163533
Anabantidae	118651.0	53862.0	5984.0	22281.0	1.0	1.0	0.0	4.36	2.61	0.48	0.14	1.71	11.23	7.590000000000001	0.5744400527009222	0.3438735177865612	0.01844532279314888	0.06324110671936758	524844595.0	523783392.0	18817.0	50227.0	436107.0	219544.0	34.24	58.32	13928.9	13957.1	418.977	3314.0	110.0	245.0	139.0	786749.0	33572.0	148796.0	68171.0	1.0	24.4581	225.0	240.0	22.08	1.50205	25419.0	2943.18	208274.0	31.87	48.96	12403.1	12428.3	397.469	2425.65	0.28407899999999997	440.0	3735.0	383.527	385.82199999999995	185040.0	33.65	50.88	11625.7	13009.7	353.13	33965.0	17.16	5.88	1110.51	1112.76	64.8187	96368.0	35.96	39.82	6598.63	6611.99	183.908	24442.0	27.26	43.2	1264.24	1266.8	46.645	15301.0	33.12	63.53	960.96	962.91	29.2004	12482.0	31.88	57.05	753.51	755.04	23.8206	7187.0	28.82	48.71	393.0	393.79	13.7156	4555.0	29.9	57.79	254.92	255.44	8.69275	4599.0	40.25	80.76	346.97	347.67	8.77672	3999.0	38.42	80.4	289.38	289.97	7.63168	5376.0	62.61	132.26	614.53	615.78	10.2595	560235974.0	1.24031	-0.3676264217210115	12586.65	0.6758682101513803	4.09353024521327	1.0	1.0	1.0	200778.0	382.5475234245291	62.798971	4.139938688	31.0	3.433987204	0.054682221	0.044150225	0.022075113
Anguillidae	397855.5	73488.5	31046.0	56999.5	1.0	1.0	0.5	6.07	1.42	0.845	0.41	1.935	15.66	8.745	0.6936207679327331	0.1630111875375608	0.047047098929534	0.09632094560017217	1084919661.5	954274508.0	1968.0	56253.0	1594456.5	708122.5	28.77	34.230000000000004	18368.55	20877.85	650.4665	2607.5	215.5	460.0	630.5	0.0	0.0	0.0	0.0	0.0	0.0	201.5	231.0	0.0	0.0	27625.0	5389.969999999999	638613.5	23.835	18.915	13866.85	15761.95	586.634	3360.06	0.0	413.0	3315.0	618.9860000000001	548.642	708122.5	28.77	34.230000000000004	18368.55	20877.85	650.4665	110919.0	16.369999999999997	4.17	1679.65	1912.72	102.72925000000001	288032.5	23.245	13.274999999999999	6135.355	6971.225	263.7925	58052.5	23.924999999999997	13.77	1277.62	1453.52	53.55215	62850.5	25.439999999999998	19.025	1466.755	1666.9299999999998	57.684349999999995	31050.0	25.295	22.35	719.245	817.56	28.54965	24416.5	30.07	27.6	673.225	764.41	22.3386	13290.0	27.055	23.835	329.595	374.845	12.2352	18930.5	31.92	30.125	549.36	623.985	17.3177	10197.5	33.625	35.375	311.86	354.36	9.356855	20874.5	43.69	50.165	817.46	928.2	19.0779	0.0	1.386685	1.5007795622819518	13960.125	0.5579585537918872	4.14018227440013	0.0	1.0		559389.5	514.2255210204094	58.74446099	4.073196868	18.0	2.890371758	0.049202456	0.038323474	0.016908007
Anoplogastridae	178564.0	52901.0	15522.0	36142.0	0.0	0.0	1.0	9.08	3.01	1.43	0.48	3.29	25.68	14.0	0.6485714285714286	0.215	0.03428571428571429	0.10214285714285713	404844788.0	404395827.0	3719.0	4562.0	42328.0	319634.0	50.3	102.29	37744.6	37786.5	791.173	1180.0	35.0	997.0	1521.0	4095321.0	180616.0	844287.0	405706.0	0.0	22.816	107.0	172.0	0.0	10.127	21060.0	5978.06	277032.0	45.85	95.39	30128.0	30161.5	685.7230000000001	4105.15	2.08777	319.0	2082.0	367.43	316.15	236548.0	51.71	97.66	28931.8	38090.2	585.515	19713.0	17.08	6.59	831.86	832.79	48.7946	119596.0	38.31	43.49	11313.5	11326.1	296.03	30237.0	48.94	139.51	3648.86	3652.91	74.8441	32611.0	63.13	109.83	5052.05	5057.66	80.7203	21421.0	42.89	105.79	2231.7	2234.18	53.0223	11100.0	38.13	72.41	1037.35	1038.5	27.4752	7402.0	40.09	96.12	722.67	723.47	18.3218	10132.0	49.68	113.72	1228.72	1230.08	25.0792	9422.0	50.61	111.45	1159.44	1160.73	23.3218	15398.0	105.58	198.69	3628.18	3632.21	38.1139	1199391094.0	3.0128	-0.7679448270360616	30854.329999999998	0.545171339563863	4.4789703026725896	0.0	0.0	0.0	283129.0	699.3519699208774	31.227874	3.441311093	2.0	0.693147181	0.022196426	0.012984077	0.003052087
Antennariidae	116905.0	65130.0	14816.0	23786.0	0.0	1.0	1.0	5.36	4.35	0.86	0.59	2.1	17.04	11.16	0.4802867383512545	0.3897849462365591	0.0528673835125448	0.07706093189964157	441856641.0	440955265.0	6086.0	9774.0	116217.0	236003.0	39.88	50.65	20787.5	20829.9	535.154	2312.0	73.0	656.0	730.0	807763.0	37995.0	80648.0	74943.0	1.0	16.8105	195.0	226.0	13.78	1.83185	23606.0	3045.88	213559.0	36.52	40.62	17344.0	17379.4	484.26099999999997	2172.48	0.182894	415.0	3304.0	332.44	329.471	187217.0	40.8	45.95	16942.6	20156.6	424.528	33444.0	16.18	4.64	1224.67	1227.17	75.8367	85542.0	40.53	30.87	7841.64	7857.67	193.97299999999998	24344.0	34.34	47.36	1885.82	1889.67	55.2018	34523.0	43.01	42.39	3343.28	3350.12	78.2834	8745.0	36.76	41.62	724.03	725.51	19.8299	7386.0	45.17	73.46	745.44	746.97	16.7483	3362.0	29.39	29.15	223.05	223.51	7.6235800000000005	4661.0	36.59	50.88	383.95	384.73	10.5692	4710.0	39.14	67.1	411.05	411.89	10.6803	6842.0	52.97	79.29	799.54	801.18	15.5147	471297312.0	1.7344	-0.6444735786971784	17582.470000000005	0.6549295774647887	4.239149264858293	0.0	0.0	0.0	220637.0	499.3406900044759	45.800003	3.824284157	51.0	3.931825633	0.085847716	0.071137474	0.039121383
Ateleopodidae	271090.0	168936.0	82176.0	132980.0	0.0	0.0	1.0	12.99	9.39	6.35	2.66	3.0	49.17	31.390000000000004	0.41382605925453964	0.2991398534565148	0.08474036317298501	0.20229372411596047	539598795.0	539273439.0	2928.0	3201.0	23343.0	278057.0	43.57	81.79	21703.8	21716.9	515.876	402.0	11.0	809.0	2487.0	2849278.0	162444.0	189056.0	310194.0	1.0	14.3164	44.0	119.0	8.73	5.28355	4235.0	1702.65	251228.0	38.4	70.23	17523.5	17534.1	466.1	1118.08	0.350575	218.0	862.0	489.934	411.945	0.0	0.0	0.0	0.0	0.0	0.0	12225.0	17.47	8.52	395.84	396.08	22.6809	90634.0	33.89	34.35	5686.64	5690.07	168.15200000000002	45345.0	35.02	68.76	2932.28	2934.05	84.12799999999999	63635.0	54.92	111.28	6440.58	6444.47	118.061	7566.0	27.61	32.9	385.91	386.15	14.0371	13003.0	24.57	23.02	591.4	591.75	24.1243	3381.0	30.0	49.56	187.22	187.34	6.27273	6166.0	42.09	68.31	478.26	478.54	11.4397	3601.0	40.68	75.96	269.47	269.64	6.68089	5672.0	42.79	69.3	439.52	439.78	10.5232	1161606626.0	1.75235	-0.31840652742818726	17807.120000000003	0.6383973967866586	4.243620852909535		0.0		655182.0	1214.202118446169	192.300002	5.259056663	13.0	2.564949357	0.01333827	0.010119137	0.004100142
Batrachoididae	605562.5	294493.0	115256.0	93397.0	0.0	0.0	1.0	13.6	9.225	2.555	1.8800000000000001	1.565	53.394999999999996	27.259999999999998	0.49882304052260984	0.33847058785532846	0.06893381412921955	0.09377255749284216	1078613330.0	1077513724.5	3821.5	4627.5	45378.5	643508.5	33.04	74.59	18921.5	18938.5	601.129	959.5	34.5	1061.5	1677.0	1824911.0	95638.0	215789.5	186574.0	0.5	24.12155	70.0	160.0	10.395	1.61958	15618.5	2716.105	599203.5	28.775	63.495000000000005	15929.400000000001	15943.3	560.0125	1727.4099999999999	0.19150999999999999	274.0	1380.0	424.685	443.715	643508.5	33.04	74.59	18921.5	18938.5	601.129	202306.5	17.88	6.455	3387.09	3390.1549999999997	189.36849999999998	160927.5	40.6	101.625	6338.375	6343.57	150.6045	64454.5	26.225	38.64	1598.935	1600.335	60.16775	86396.0	27.57	44.69	2236.6150000000002	2238.62	80.60475	25994.0	24.045	27.555	577.9449999999999	578.505	24.10855	14587.5	32.875	54.34	439.95000000000005	440.37	13.62635	8915.0	25.42	24.57	210.97	211.17000000000002	8.326665	11279.0	45.685	96.705	489.52	489.93499999999995	10.548515	8781.0	33.010000000000005	53.230000000000004	267.90999999999997	268.15999999999997	8.196145	15562.5	55.795	107.56	780.81	781.53	14.4613	1817380299.0	1.59294	1.4797416903671405	16328.12	0.5109458652011843	4.187048738233809	1.0	0.0		1108708.5	1029.1903531431603	126.800002	4.842611058	84.0	4.430816799	0.03494335	0.029570221	0.017586864
Berycidae	191601.0	50147.0	25369.0	45953.0	0.0	0.0	1.0	5.37	2.1	1.16	0.63	3.94	24.18	9.260000000000002	0.579913606911447	0.22678185745140386	0.06803455723542115	0.12526997840172782	533267752.0	532475508.0	4286.0	5987.0	72599.0	442820.0	40.57	53.44	32543.9	32592.3	830.807	1638.0	58.0	941.0	1119.0	4378625.0	179337.0	756333.0	388403.0	1.0	18.6349	152.0	197.0	14.64	8.22315	24630.0	4594.19	417443.0	38.88	48.41	29627.7	29671.7	783.195	3542.06	1.42041	366.0	2604.0	411.371	349.847	330604.0	42.41	51.26	25549.8	33076.4	620.27	32969.0	16.8	5.55	1038.62	1040.16	61.8555	241653.0	40.17	35.77	18193.1	18220.1	453.38300000000004	29385.0	35.24	72.87	1937.68	1940.56	55.1313	45041.0	45.4	61.42	3810.77	3816.44	84.5047	19051.0	38.57	60.0	1360.67	1362.7	35.743	14028.0	42.43	63.53	1103.78	1105.43	26.3189	6385.0	33.39	51.48	395.55	396.14	11.9794	11221.0	43.12	56.89	897.96	899.3	21.0525	6576.0	45.98	99.84	556.63	557.46	12.3377	11134.0	50.31	83.29	1024.8	1026.33	20.8893	760302251.0	2.96277	-0.3395268367111931	30319.559999999994	0.38296112489660883	4.471697938483803	0.0	0.0	0.0	313070.0	587.0784401003868	70.616748	4.25726734	10.0	2.302585093	0.032606785	0.024140847	0.009089259
Blenniidae	218897.0	56402.0	10093.0	36000.0	0.0	0.0	1.0	6.17	2.37	0.95	0.17	2.81	18.15	9.659999999999998	0.6387163561076605	0.24534161490683234	0.01759834368530021	0.09834368530020705	599249148.0	596758828.0	7343.0	16796.0	212603.0	480682.0	41.28	67.31	31886.4	32019.4	802.4739999999999	2336.0	63.0	650.0	712.0	1161165.0	51494.0	206132.0	97727.0	1.0	31.8186	186.0	224.0	30.04	1.9457900000000001	24531.0	7165.14	448693.0	36.83	56.7	26864.4	26976.5	749.07	4881.35	0.34541900000000003	407.0	3377.0	390.855	404.985	405265.0	40.32	60.38	26449.8	31942.5	676.569	174504.0	18.78	6.68	5469.33	5492.16	291.32599999999996	134511.0	47.11	59.47	10570.0	10614.0	224.55900000000003	31804.0	37.79	58.3	2000.74	2009.09	53.0952	41876.0	50.25	68.24	3491.67	3506.25	69.9098	15199.0	43.72	60.55	1093.68	1098.24	25.374000000000002	10626.0	45.0	74.93	789.25	792.54	17.7396	8069.0	40.63	72.63	539.45	541.7	13.4708	10324.0	55.26	94.84	929.38	933.26	17.2354	8797.0	57.81	98.56	829.84	833.3	14.6861	12983.0	81.21	126.19	1680.56	1687.57	21.6745	593516981.0	2.68644	-0.11941342246894497	27393.9	0.5322314049586776	4.429177145310481	1.0	0.0		321392.0	536.3245005397989	68.266252	4.22341553	405.0	6.003887067	0.087948099	0.077830638	0.054540579
Carangidae	125574.0	29124.0	9999.0	23149.0	0.0	1.0	1.0	3.07	1.02	0.5	0.25	2.58	9.56	4.82	0.63859649122807	0.21161825726141079	0.04811715481171548	0.09999999999999998	537407121.0	536000415.0	11209.0	45457.0	547239.0	431339.0	27.46	24.73	21753.1	21810.2	803.238	3253.0	99.0	287.0	158.0	0.0	0.0	0.0	0.0	0.0	0.0	224.0	241.0	0.0	0.0	23472.0	5941.56	417845.0	26.65	19.92	20524.3	20578.1	778.11	5030.45	0.0	443.0	3834.0	382.788	382.92800000000005	431339.0	27.46	24.73	21753.1	21810.2	803.238	95423.0	19.69	8.04	3496.35	3505.53	177.696	182476.0	28.5	14.54	9671.19	9696.57	339.806	54978.0	26.2	23.0	2662.23	2669.22	102.38	29185.0	30.89	28.57	1696.48	1700.12	54.3482	16723.0	28.91	25.42	928.13	930.12	31.6723	12598.0	31.17	33.83	718.7	720.24	23.1581	6709.0	26.61	31.78	328.41	329.58	12.4935	7516.0	30.96	32.73	442.49	443.44	13.9963	5823.0	31.82	36.74	348.39	349.63	10.8436	7554.0	41.29	52.87	599.69	600.98	14.067	0.0	2.0524299999999998	-0.3257179345261208	20679.08	0.5	4.312268354034037	0.0	0.0	0.0	186292.0	344.61024568373745	57.118084	4.045120774	149.0	5.003946306	0.087607041	0.075588812	0.048321123
Cetomimidae	142390.0	147593.0	25123.0	48561.0	0.0	0.0	1.0	6.87	11.86	3.19	1.15	2.78	41.57	23.07	0.2977893368010403	0.5140875596012137	0.04984828781967923	0.13827481577806675	404871927.0	403660570.0	2690.0	3573.0	45833.0	258875.0	61.01	134.32	36299.6	36408.6	640.78	704.0	16.0	921.0	2073.0	6434703.0	326898.0	946391.0	696301.0	0.0	23.9993	68.0	140.0	0.0	15.9409	5567.0	3906.6	230988.0	52.32	121.6	28538.3	28623.9	571.752	2198.1	2.34452	250.0	1368.0	405.724	410.906	167975.0	62.52	125.52	24542.1	39694.5	415.78	10190.0	17.5	10.05	440.38	441.7	25.2228	103767.0	51.72	112.9	13249.9	13289.6	256.849	22075.0	63.87	170.45	3478.52	3488.96	54.6411	34877.0	49.29	95.07	4226.82	4239.5	86.3292	16536.0	53.1	144.48	2138.28	2144.7	40.9307	13046.0	35.99	80.48	1151.46	1154.92	32.2921	7101.0	33.75	65.23	582.87	584.62	17.5767	8841.0	68.82	148.71	1458.13	1462.51	21.8837	5487.0	59.7	128.02	792.78	795.16	13.5817	9068.0	97.98	195.57	2114.95	2121.3	22.4455	869918793.0	2.85383	-0.7678542915471016	29634.089999999997	0.5549675246572047	4.455428099030599		0.0		363667.0	898.2272559490152	89.890653	4.498593965	30.0	3.401197382	0.037837053	0.030490823	0.015140357
Characidae	772618.0	49233.0	9187.0	40616.0	1.0	0.0	0.0	14.21	0.89	0.64	0.1	2.61	31.31	15.840000000000002	0.8970959595959596	0.05618686868686868	0.006313131313131313	0.0404040404040404	1191242572.0	964234932.0	13755.0	1775308.0	9823298.0	752217.0	32.07	40.46	19822.4	24489.2	631.5840000000001	3489.0	92.0	92.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0	234.0	0.0	0.0	25915.0	6470.05	672579.0	28.37	26.34	15834.8	19562.8	564.7180000000001	4096.2	0.0	427.0	3529.0	747.6089999999999	749.451	752217.0	32.07	40.46	19822.4	24489.2	631.5840000000001	108784.0	17.0	5.21	1552.06	1917.45	91.3384	290994.0	30.1	18.4	7348.26	9078.24	244.327	53497.0	28.52	28.31	1276.97	1577.61	44.9177	73173.0	32.47	34.07	1983.03	2449.89	61.4383	37802.0	27.27	29.66	862.13	1065.1	31.7397	18643.0	25.82	26.74	403.3	498.25	15.6532	12645.0	25.67	24.67	272.02	336.06	10.6171	23465.0	30.14	32.11	590.77	729.86	19.7019	20624.0	31.03	34.94	532.65	658.05	17.3165	32952.0	42.22	57.96	1142.98	1412.07	27.6675	0.0	1.58348	1.8554719492439973	15964.169999999998	0.5059086553816673	4.19961258242565	0.0	1.0		871654.0	731.7183086703856	63.186557	4.146091573	1083.0	6.987490247	0.110585077	0.099629831	0.074274993
